epoch,optimization_train_loss,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,mean_preclip_gradient_norm
1,0.6958108393362942,0.6911912139982468,0.524300441826215,0.5238113829602637,0.46503482004561364,0.6925143241882324,0.5166666666666667,0.5166666666666667,0.4334093129273852,0.1295545372095975
2,0.6889166034022909,0.6853157150201137,0.5449189985272459,0.5444950546590318,0.5035527950310559,0.6899442672729492,0.5291666666666667,0.5291666666666667,0.46864162699112444,0.13474873114715924
3,0.6834003432860958,0.680535683049018,0.5463917525773195,0.5460871074093354,0.5259497687913682,0.6879250367482503,0.5416666666666666,0.5416666666666666,0.513238439412936,0.13889953223141757
4,0.6791895945749858,0.676148382307679,0.561119293078056,0.5609057782404998,0.5515867387642939,0.6868018309275309,0.5625,0.5625,0.550633927138501,0.13874652168967508
5,0.6749501199364135,0.6722924284450436,0.5832106038291606,0.5830687142113482,0.5792351401951017,0.6860493024190267,0.5666666666666667,0.5666666666666667,0.5597883597883597,0.12357762997800653
6,0.6712100382932683,0.6687460549625627,0.5861561119293078,0.5860359187922957,0.583321868073072,0.6858178933461507,0.5583333333333333,0.5583333333333333,0.5522388059701493,0.13327307931401514
7,0.6677125885490114,0.6649789178143194,0.6097201767304861,0.6096651049800451,0.6091470898091731,0.6851335684458415,0.5583333333333333,0.5583333333333333,0.5545906576090762,0.11368106508796866
8,0.6636873642545035,0.6613072323693794,0.6126656848306333,0.6126409855977789,0.6125446683315361,0.6856771628061931,0.5583333333333333,0.5583333333333333,0.555834904672114,0.13273794542659412
9,0.6601309439219502,0.6577178859570241,0.614138438880707,0.6141245878882526,0.6140974246841594,0.6871010621388753,0.5541666666666667,0.5541666666666667,0.5524183006535948,0.15640506825663827
10,0.6570952208122905,0.6540894009754479,0.6229749631811488,0.623004511539129,0.6228367095419118,0.6877030372619629,0.5458333333333333,0.5458333333333334,0.5448772595208685,0.16073564101349225
11,0.6530818363352623,0.6510061648878679,0.6303387334315169,0.6303964948811382,0.6297959228003867,0.6883388916651408,0.5583333333333333,0.5583333333333333,0.5578420467185763,0.1513000103560361
12,0.6502054282772699,0.6474084278269615,0.625920471281296,0.6259673781016831,0.6255623100303951,0.6910720427831014,0.5583333333333333,0.5583333333333333,0.5578420467185763,0.1636020696975968
13,0.6466802264699528,0.6442576423836035,0.6303387334315169,0.6303878188443519,0.6299502558858079,0.6936363776524862,0.55,0.55,0.5492173913043479,0.1604224673726342
14,0.6433802102205504,0.6409879327698204,0.6273932253313697,0.6274379663369772,0.6270696703072458,0.6967792908350626,0.55,0.55,0.5488721804511278,0.16956479847431183
15,0.6401988791085133,0.6377337684687528,0.6347569955817378,0.6348125976054139,0.634261189880456,0.699295163154602,0.55,0.55,0.5488721804511278,0.15268877216360785
16,0.6369930192367318,0.6347523437859559,0.6362297496318114,0.6362745098039215,0.6359138678493664,0.7012780984242757,0.5541666666666667,0.5541666666666667,0.5528547300238547,0.17664741724729538
17,0.6345439634898976,0.631511059004007,0.6377025036818851,0.6377450980392156,0.6374185985933838,0.7059361616770427,0.5541666666666667,0.5541666666666667,0.5524183006535948,0.19130855256860907
18,0.6311294142381784,0.628635448629972,0.6435935198821797,0.6436404650355718,0.6432522796352583,0.7066323518753052,0.5416666666666666,0.5416666666666666,0.5396205357142857,0.16842473501508887
19,0.628079939924389,0.6255425409645676,0.6524300441826215,0.6524856845393024,0.6519582290797887,0.7070771773656209,0.5416666666666666,0.5416666666666666,0.5405179615705932,0.17638967524875293
