-1.150878518819808960e-01,2.143669277429580688e-01,2.145603299140930176e-01,1.331236213445663452e-01,2.197393178939819336e-01,-1.497001647949218750e-01,-3.106395006179809570e-01,6.622768193483352661e-02,3.923650830984115601e-02,-6.799733638763427734e-02,5.119767785072326660e-02,1.749524474143981934e-01,1.269981265068054199e-01,4.040864109992980957e-02,-1.527839452028274536e-01,1.357965022325515747e-01
1.317607462406158447e-01,1.189651340246200562e-01,5.967587977647781372e-02,-2.073730975389480591e-01,-7.744693756103515625e-02,2.351108938455581665e-02,-1.509555727243423462e-01,-3.820289671421051025e-02,-5.155098438262939453e-02,3.018415346741676331e-02,1.735639572143554688e-01,1.490758806467056274e-01,-1.220414265990257263e-01,-9.248417802155017853e-03,2.245574146509170532e-01,-5.774788558483123779e-02
-1.940461695194244385e-01,-2.487613409757614136e-01,1.917165368795394897e-01,2.323456704616546631e-01,-1.798458397388458252e-01,-1.373702893033623695e-03,1.344563364982604980e-01,-4.432301223278045654e-02,-1.124110594391822815e-01,2.241432070732116699e-01,2.586926519870758057e-01,1.075489223003387451e-01,-1.890451908111572266e-01,2.501913346350193024e-03,-1.101074516773223877e-01,-2.827322296798229218e-02
1.400342583656311035e-01,1.057894229888916016e-01,-2.111023962497711182e-01,-2.459962107241153717e-02,-1.010880470275878906e-01,-6.412891298532485962e-02,1.154529023915529251e-02,-1.087284907698631287e-01,-2.509012222290039062e-01,4.747273027896881104e-02,-1.175101697444915771e-01,-2.343929558992385864e-01,-8.545478433370590210e-02,-2.419843077659606934e-01,-1.750709861516952515e-01,8.136948943138122559e-02
-9.995917230844497681e-02,-1.219356618821620941e-02,-1.251967400312423706e-01,9.242481552064418793e-03,-1.867438554763793945e-01,4.780050367116928101e-02,3.210708126425743103e-02,1.789815127849578857e-01,1.431936174631118774e-01,1.254338920116424561e-01,-4.001609608530998230e-02,3.645762428641319275e-02,4.788839071989059448e-02,-8.552768826484680176e-02,6.444308906793594360e-02,1.861585527658462524e-01
-2.820256352424621582e-01,-2.095027416944503784e-01,2.632639110088348389e-01,7.834174484014511108e-02,2.116029858589172363e-01,2.379737049341201782e-01,1.816233843564987183e-01,1.919055283069610596e-01,-1.108084470033645630e-01,-8.224260061979293823e-02,-2.349436283111572266e-01,-2.260774075984954834e-01,-1.056667789816856384e-01,-1.010956987738609314e-01,1.715510338544845581e-02,-5.643016844987869263e-02
-1.581759005784988403e-01,-7.714220136404037476e-02,2.331895381212234497e-01,9.013824164867401123e-02,-1.424177736043930054e-01,-2.490162551403045654e-01,5.847409367561340332e-02,-4.584693163633346558e-02,2.320671826601028442e-01,1.036459654569625854e-01,-1.924723982810974121e-01,-3.457689285278320312e-02,-1.744482517242431641e-01,-8.826456218957901001e-02,9.767457842826843262e-03,-9.843079745769500732e-02
1.363910734653472900e-01,-4.720013588666915894e-02,-5.343743041157722473e-02,-2.500066757202148438e-01,3.159714862704277039e-02,-6.817987561225891113e-02,4.972799215465784073e-03,1.017780527472496033e-01,-8.246066980063915253e-03,1.374068669974803925e-02,-1.455586962401866913e-02,-8.025214821100234985e-02,2.066229283809661865e-01,2.111481279134750366e-01,-6.438211351633071899e-02,2.679646909236907959e-01
8.405013382434844971e-02,-3.631090000271797180e-02,-2.598301768302917480e-01,1.559576839208602905e-01,1.774002611637115479e-01,-7.008443027734756470e-02,7.494754623621702194e-03,-2.094332426786422729e-01,-1.631956994533538818e-01,-4.067979007959365845e-02,1.212073396891355515e-02,-7.361254096031188965e-02,-1.605921387672424316e-01,-1.507475525140762329e-01,1.556917466223239899e-02,-2.266092449426651001e-01
1.481696814298629761e-01,-3.393735736608505249e-02,1.835585534572601318e-01,-9.347504377365112305e-02,1.818262785673141479e-01,1.242233291268348694e-01,-1.243684291839599609e-01,6.781207025051116943e-02,-1.999841332435607910e-01,1.897981613874435425e-01,1.767280995845794678e-01,1.339533645659685135e-02,-4.277604818344116211e-02,2.486491352319717407e-01,1.565502583980560303e-01,1.087707355618476868e-01
